model,family,paper_title,venue_year,paper_link,code_url,code_commit,license,adaptation_file,core,adaptation,training_regime,additional_pretrained_weights,external_sentiment_data
TFN,standard fusion,Tensor Fusion Network for Multimodal Sentiment Analysis,EMNLP 2017,https://aclanthology.org/D17-1115/,https://github.com/Justin1904/TensorFusionNetworks,ef0e78b5583159de9b74ef2cdef6031bd9f94b37,No LICENSE file in inspected revision,src/models/public_baselines.py,outer-product tensor fusion,Packed text LSTM and masked-mean audio/vision; common two-task heads,standard clean training,no,no
LMF,standard fusion,Efficient Low-rank Multimodal Fusion With Modality-Specific Factors,ACL 2018,https://aclanthology.org/P18-1209/,https://github.com/Justin1904/Low-rank-Multimodal-Fusion,ea4755124d19bddf7941695215e98f16fbb1fff9,No LICENSE file in inspected repository listing,src/models/public_baselines_extended.py,modality-specific low-rank tensor factors,Aligned-50 text LSTM and pooled audio/vision; rank 8; common two-task heads,standard clean training,no,no
MFN,standard fusion,Memory Fusion Network for Multi-view Sequential Learning,AAAI 2018,https://ojs.aaai.org/index.php/AAAI/article/view/12021,https://github.com/pliang279/MFN,b0453fb6e21b581c796246a0c32a6551f2028c1b,MIT (repository),src/models/public_baselines_extended.py,"three recurrent streams, delta-memory attention, gated memory",Use aligned-50 timesteps and padding mask; smaller hidden/memory; common two-task heads,standard clean training,no,no
MulT,standard fusion,Multimodal Transformer for Unaligned Multimodal Language Sequences,ACL 2019,https://aclanthology.org/P19-1656/,https://github.com/yaohungt/Multimodal-Transformer,a670936824ee722c8494fd98d204977a1d663c7a,MIT,src/models/public_baselines.py,directed pairwise cross-modal attention,Apply six directed streams to aligned-50 input with padding-aware attention; common two-task heads,standard clean training,no,no
MISA,standard fusion,MISA: Modality-Invariant and -Specific Representations for Multimodal Sentiment Analysis,ACM MM 2020,https://doi.org/10.1145/3394171.3413678,https://github.com/declare-lab/MISA,ec42faddde0d210cf7368aebf2118fe9570e7102,MIT,src/models/public_baselines.py,"shared/private decomposition with similarity, difference and reconstruction losses",Use precomputed text features and pooled aligned-50 streams; common two-task heads; retain auxiliary losses,standard clean training,no,no
Self-MM,standard fusion,Learning Modality-Specific Representations with Self-Supervised Multi-Task Learning for Multimodal Sentiment Analysis,AAAI 2021,https://ojs.aaai.org/index.php/AAAI/article/view/17289,https://github.com/thuiar/Self-MM,1786283c81eeb507f317fa1c70a3faf77e67cee0,Unverified; no source copied,src/models/public_baselines_extended.py,fused and unimodal sentiment branches with pseudo supervision,Masked-mean aligned-50 encoders; stop-gradient fused/regression pseudo targets; no original dynamic task-weighting; common two-task heads,standard clean training,no,no
MMIM,standard fusion,Improving Multimodal Fusion with Hierarchical Mutual Information Maximization for Multimodal Sentiment Analysis,EMNLP 2021,https://aclanthology.org/2021.emnlp-main.723/,https://github.com/declare-lab/Multimodal-Infomax,cd0774c5a712ca5f1a5497dbf27dde11cade7434,Unverified; no source copied,src/models/public_baselines_extended.py,pairwise unimodal and fusion-to-unimodal information preservation,InfoNCE surrogate rather than original BA/CPC estimates; masked-mean aligned-50 encoders; common two-task heads,standard clean training,no,no
MAG-BERT,standard fusion,Integrating Multimodal Information in Large Pretrained Transformers,ACL 2020,https://aclanthology.org/2020.acl-main.214/,https://github.com/WasifurRahman/BERT_multimodal_transformer,dc7876fc30f7ef362999200911e3d4d8a2bca107,Unverified; no source copied,src/models/public_baselines_extended.py,audio/vision-conditioned MAG shift into language states,Apply gate to provided BERT features and train a small 2-layer encoder; original pretrained BERT is not fine-tuned; common two-task heads,standard clean training,no,no
TFR-Net,missing-aware,Transformer-based Feature Reconstruction Network for Robust Multimodal Sentiment Analysis,ACM MM 2021,https://doi.org/10.1145/3474085.3475585,https://github.com/thuiar/TFR-Net,00f06a68a44a6b6fc0043f01954336f30ec3b090,Unverified; no source copied,src/models/public_baselines_extended.py,temporal Transformer context and latent feature reconstruction,"Single shared context layer on aligned-50 with block-masked training; compact latent reconstruction, not original full network; common two-task heads",missing-aware training,no,no
MissModal,missing-aware,MissModal: Increasing Robustness to Missing Modality in Multimodal Sentiment Analysis,TACL 2023,https://aclanthology.org/2023.tacl-1.94/,https://github.com/RH-Lin/MissModal,83713ff92d64084effd4e0f53334bfcc61e31f32,No LICENSE file in inspected revision; code unavailable,src/models/public_baselines_extended.py,"contrastive, distribution and sentiment-semantic alignment of clean/missing representations",Aligned-50 block-masked student and clean stop-gradient teacher; mean/std distribution proxy; original code unavailable; common two-task heads,missing-aware training,no,no
